film,director,release year,rating
The Fisher King,Terry Gilliam,1991,3.0
Four Lions,Chris Morris,2010,4.0
Scorpio Rising,Kenneth Anger,1963,5.0
Blue Hawaii,Norman Taurog,1961,1.5
Tampopo,Juzo Itami,1985,5.0
Dark Star,John Carpenter,1974,3.5
Asteroid City,Wes Anderson,2023,4.5
Patriotism,Yukio Mishima,1966,3.0
Trash Humpers,Harmony Korine,2009,4.0
The Killing,Stanley Kubrick,1956,4.0
Killer's Kiss,Stanley Kubrick,1955,3.0
Oppenheimer,Christopher Nolan,2023,3.0
A Dangerous Method,David Cronenberg,2011,4.0
The Big Chill,Lawrencr Kasdan,1983,4.0
49th Parallel,Powell & Pressburger,1941,4.0
Wooden Crosses,Raymond Bernard,1932,5.0
The Battle of Algiers,Gillo Pontecorvo,1966,5.0
Harold and Maude,Hal Ashby,1971,4.5
How To Blow Up A Pipeline,Daniel Goldhaber,2022,4.0
Bottoms,Emma Seligman,2023,3.5
North by Northwest,Alfred Hitchcock ,1959,4.0
Multiple Maniacs,John Waters,1970,4.0
Def by Temptation,James Bond III,1990,4.0
Phantom of the Paradise,Brian de Palma,1974,4.5
N.Y. N.Y.,Francis Thompson,1957,3.0
Cry-Baby,John Waters,1990,4.0
Malcolm X,Spike Lee,1992,4.5
Peggy Sue Got Married,Francis Ford Coppola,1986,3.0
O Brother Where Art Thou?,Joel Coen,2000,4.0
Cure,Kiyoshi Kurosawa,1997,4.0
Re-Animator,Stuart Gordon,1985,3.5
High and Low,Akira Kurosawa,1963,4.0
Radio Days,Woody Allen,1987,3.0
Sleeper,Woody Allen,1973,3.5
The Cocoanauts,Robert Florey & Joseph Santley,1929,3.0
Killers of the Flower Moon,Martin Scorsese,2023,4.5
Rabbit's Moon,Kenneth Anger,1971,4.5
Lucifer Rising,Kenneth Anger,1980,4.5
Clifford ,Paul Flaherty,1994,3.5
Happiness,Todd Solondz,1998,4.0
Cecil B. Demented,John Waters,2000,3.0
Speed Racer,The Wachowskis,2008,3.5
Café Society,Woody Allen,2016,3.0
Annie Hall,Woody Allen,1977,5.0
Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask),Woody Allen,1972,3.5
Midnight in Paris,Woody Allen,2011,3.5
Forty Guns,Samuel Fuller,1957,3.0
Freaks,Tod Browning,1932,5.0
Ghost Dog: Way of the Samurai,Jim Jarmusch,1999,4.0
Safety Last!,Sam Taylor,1923,3.0
Love and Death,Woody Allen,1975,3.5
Zelig,Woody Allen,1983,4.0
Manhattan,Woody Allen,1979,4.0
The Cabinet of Dr. Caligari,Robert Wiene,1920,5.0
Crimes and Misdemeanors,Woody Allen,1989,3.0
Starsky & Hutch,Todd Philips,2004,3.0
Everyone Says I Love You ,Woody Allen,1996,3.5
Napoleon,Ridley Scott,2023,2.5
A Fish Called Wanda,Charles Crichton,1988,3.5
